title,company,location,skills
Field Coordinator,Govt of Punjab - Revenue Dept,Ludhiana,"Excel, Data Entry, English, MS Office, Documentation"
Apprentice - IT Support,Punjab Digital Office,Bathinda,"Documentation, PowerPoint, MS Office, Networking, Hardware Support, English, SQL, Customer Support"
Social Media Assistant,Govt of Punjab - Health Dept,Bathinda,"Data Entry, Networking, MS Office, Communication, PowerPoint, SQL, Hardware Support"
Apprentice - IT Support,PGRKAM Partner Employer,Mohali,"Hardware Support, Teamwork, Data Entry, Excel, PowerPoint, Hindi, Networking"
District Coordinator,Punjab Skill Development Mission,Amritsar,"Data Entry, Customer Support, Field Work, Punjabi, Tally, MS Office, Typing, SQL"
Lab Technician,PSEB,Hoshiarpur,"SQL, PowerPoint, Documentation, Hardware Support, Teamwork, Tally"
Career Counsellor,PGRKAM Partner Employer,Gurdaspur,"SQL, Hindi, MS Office, Teamwork, Documentation, Tally, English"
Office Assistant,Punjab Rural Development Dept,Gurdaspur,"SQL, English, Tally, Punjabi"
Social Media Assistant,PSEB,Hoshiarpur,"Punjabi, Documentation, Customer Support, Communication, Hindi, Field Work, Teamwork, Excel"
Lab Technician,PSEB,Amritsar,"Typing, Customer Support, Communication, Documentation, Networking, Punjabi"
Customer Support Executive,Punjab Digital Office,Hoshiarpur,"MS Office, Hardware Support, Teamwork, Networking"
Field Coordinator,PGRKAM Partner Employer,Mohali,"Field Work, Customer Support, Documentation, Hardware Support, Punjabi"
Office Assistant,Govt of Punjab - Revenue Dept,Mohali,"Punjabi, MS Office, Hindi, Tally, Communication, Data Entry"
District Coordinator,Punjab Skill Development Mission,Gurdaspur,"Teamwork, Excel, Typing, Field Work, English, Customer Support, Networking, Data Entry"
Admin Assistant,Govt of Punjab - Revenue Dept,Patiala,"Hardware Support, Typing, English, Excel, Hindi"
Computer Operator,Punjab Skill Development Mission,Mohali,"Punjabi, Field Work, Customer Support, Documentation, Typing, Networking"
Admin Assistant,Govt of Punjab - Health Dept,Ludhiana,"Networking, Typing, Customer Support, Punjabi, Communication, SQL"
MIS Executive,Govt of Punjab - Health Dept,Ludhiana,"PowerPoint, Tally, Networking, Field Work, Documentation, Punjabi"
IT Support Technician,Punjab Digital Office,Gurdaspur,"Typing, Networking, Documentation, Customer Support, PowerPoint, Data Entry, Teamwork, Punjabi"
Hardware Technician,Punjab Skill Development Mission,Hoshiarpur,"Communication, Field Work, Typing, SQL, English, Excel, PowerPoint, Teamwork"
IT Support Technician,Govt of Punjab - Health Dept,Pathankot,"Teamwork, Excel, Communication, SQL"
Field Coordinator,PSEB,Patiala,"Field Work, Communication, SQL, Hardware Support, Tally, English, PowerPoint"
MIS Executive,PSEB,Firozpur,"Communication, Field Work, Hindi, Typing"
Helpdesk Executive,Govt of Punjab - Health Dept,Patiala,"Hindi, Networking, Teamwork, Documentation, Communication, Tally"
MIS Executive,Punjab Digital Office,Hoshiarpur,"English, SQL, PowerPoint, Hindi"
Field Coordinator,Punjab Rural Development Dept,Pathankot,"Data Entry, Communication, Customer Support, Excel, Tally, Networking, SQL, English"
Hardware Technician,PSEB,Pathankot,"Teamwork, English, Tally, Data Entry, SQL, Field Work"
Data Entry Operator,Govt of Punjab - Health Dept,Jalandhar,"Typing, MS Office, Hindi, Communication"
Hardware Technician,Punjab Digital Office,Jalandhar,"Customer Support, Communication, Networking, PowerPoint, Excel, Tally, Teamwork, Data Entry"
Apprentice - IT Support,Govt of Punjab - Health Dept,Amritsar,"Typing, Punjabi, Documentation, Excel, Networking"
Social Media Assistant,PGRKAM Partner Employer,Hoshiarpur,"MS Office, Tally, Hardware Support, Hindi, Communication, Customer Support, Documentation, SQL"
Data Entry Operator,PGRKAM Partner Employer,Mohali,"Data Entry, SQL, Documentation, MS Office, Punjabi, PowerPoint, Teamwork"
MIS Executive,Govt of Punjab - Health Dept,Amritsar,"Networking, Data Entry, English, Hindi, PowerPoint, Typing, Hardware Support, Tally"
Data Entry Operator,PSEB,Hoshiarpur,"Hindi, SQL, Communication, Networking, Documentation"
District Coordinator,PSEB,Hoshiarpur,"English, Data Entry, SQL, Hindi, Field Work"
Hardware Technician,Govt of Punjab - Health Dept,Gurdaspur,"Tally, Hindi, Networking, Data Entry, Typing, Documentation, PowerPoint, Communication"
Helpdesk Executive,Punjab Skill Development Mission,Bathinda,"Field Work, Teamwork, SQL, Communication, English, Typing"
Field Coordinator,Punjab Rural Development Dept,Amritsar,"Field Work, PowerPoint, Hardware Support, Typing, Punjabi, Tally, Communication, Teamwork"
MIS Executive,Govt of Punjab - Health Dept,Jalandhar,"Hardware Support, Teamwork, Punjabi, Excel, Customer Support, PowerPoint"
Career Counsellor,Punjab Skill Development Mission,Jalandhar,"Customer Support, Tally, Documentation, Hindi, SQL"
Computer Operator,Govt of Punjab - Health Dept,Firozpur,"Networking, Tally, Customer Support, Punjabi, Excel, Hindi"
Admin Assistant,Govt of Punjab - Revenue Dept,Jalandhar,"Typing, English, SQL, Communication, Data Entry"
Customer Support Executive,Govt of Punjab - Health Dept,Gurdaspur,"Networking, Field Work, English, Communication, Excel, PowerPoint, Documentation, Teamwork"
MIS Executive,Punjab Rural Development Dept,Mohali,"Documentation, English, Networking, Communication, Hardware Support"
Customer Support Executive,Punjab Skill Development Mission,Mohali,"MS Office, Punjabi, English, Hardware Support, Communication"
Admin Assistant,Punjab Skill Development Mission,Jalandhar,"Hardware Support, Punjabi, SQL, Data Entry"
MIS Executive,Govt of Punjab - Health Dept,Amritsar,"MS Office, Networking, SQL, Excel, English, Punjabi"
Helpdesk Executive,PGRKAM Partner Employer,Bathinda,"Hindi, Excel, English, Tally, Networking, Typing, Documentation"
Social Media Assistant,Punjab Rural Development Dept,Mohali,"Communication, English, Hindi, Teamwork, Hardware Support, MS Office"
Apprentice - IT Support,Punjab Rural Development Dept,Jalandhar,"Teamwork, PowerPoint, Typing, MS Office, English, Communication, Documentation"
Career Counsellor,PSEB,Firozpur,"English, Excel, Data Entry, Tally, Networking, Hardware Support"
Computer Operator,PGRKAM Partner Employer,Mohali,"MS Office, Hindi, Teamwork, English"
Admin Assistant,Punjab Rural Development Dept,Bathinda,"Communication, Hardware Support, Typing, Documentation, Data Entry, MS Office"
Lab Technician,Punjab Rural Development Dept,Bathinda,"Teamwork, Communication, Data Entry, English, Hindi"
Data Entry Operator,PSEB,Amritsar,"English, Networking, Customer Support, PowerPoint, Communication, Documentation, Excel"
Apprentice - IT Support,PSEB,Amritsar,"Hindi, SQL, Networking, Punjabi, Hardware Support, English"
Computer Operator,Punjab Skill Development Mission,Firozpur,"Communication, Documentation, PowerPoint, Teamwork"
Hardware Technician,Punjab Rural Development Dept,Bathinda,"Typing, MS Office, Excel, Punjabi, Hindi, Data Entry, Tally"
District Coordinator,PGRKAM Partner Employer,Firozpur,"Data Entry, Typing, PowerPoint, Documentation"
Apprentice - IT Support,Punjab Skill Development Mission,Pathankot,"Hardware Support, MS Office, Communication, Data Entry, English, Excel, Networking, Field Work"
Computer Operator,Punjab Skill Development Mission,Amritsar,"SQL, Customer Support, Excel, Teamwork, Field Work, Communication"
Computer Operator,PGRKAM Partner Employer,Jalandhar,"Networking, Tally, Field Work, Excel"
Social Media Assistant,Punjab Digital Office,Firozpur,"Field Work, Hindi, English, Tally, SQL, PowerPoint"
Field Coordinator,Punjab Digital Office,Gurdaspur,"Data Entry, Teamwork, Field Work, Networking, PowerPoint, Typing, Punjabi"
MIS Executive,Punjab Skill Development Mission,Mohali,"SQL, Tally, Data Entry, English"
Lab Technician,Punjab Rural Development Dept,Mohali,"Punjabi, SQL, PowerPoint, Excel, Field Work, Networking, Customer Support, Hardware Support"
District Coordinator,PGRKAM Partner Employer,Mohali,"Tally, Teamwork, Typing, SQL, English, Hindi"
Customer Support Executive,Punjab Skill Development Mission,Pathankot,"English, Punjabi, Customer Support, Communication, PowerPoint, MS Office, SQL"
Customer Support Executive,Punjab Rural Development Dept,Firozpur,"Hardware Support, Typing, Hindi, Customer Support, Punjabi"
Admin Assistant,PSEB,Firozpur,"English, Field Work, Hardware Support, Teamwork"
Field Coordinator,PGRKAM Partner Employer,Amritsar,"Documentation, SQL, Data Entry, Hardware Support"
Data Entry Operator,Punjab Skill Development Mission,Mohali,"Documentation, SQL, Networking, Hindi, Tally, English, Punjabi"
Apprentice - IT Support,Govt of Punjab - Revenue Dept,Amritsar,"Networking, Tally, Customer Support, Data Entry"
Lab Technician,Punjab Skill Development Mission,Patiala,"Hardware Support, Punjabi, Tally, Excel, Data Entry, Documentation, Field Work, PowerPoint"
Apprentice - IT Support,Govt of Punjab - Revenue Dept,Jalandhar,"Typing, English, Hindi, Field Work, Networking, Customer Support, PowerPoint"
Hardware Technician,PGRKAM Partner Employer,Pathankot,"MS Office, Punjabi, Excel, Tally, Hardware Support"
Lab Technician,Punjab Skill Development Mission,Amritsar,"Field Work, Documentation, MS Office, Tally, Data Entry"
Field Coordinator,Punjab Rural Development Dept,Mohali,"Punjabi, MS Office, SQL, Hardware Support, Customer Support"
Field Coordinator,PSEB,Firozpur,"Field Work, PowerPoint, Networking, MS Office, Data Entry, Hardware Support"
Helpdesk Executive,Punjab Skill Development Mission,Firozpur,"Punjabi, Networking, MS Office, Tally, Hardware Support, English, Customer Support"
District Coordinator,Govt of Punjab - Revenue Dept,Pathankot,"Hindi, Field Work, Tally, Documentation, Hardware Support, Teamwork"
Field Coordinator,PSEB,Firozpur,"Excel, Teamwork, MS Office, Field Work, Communication, Hardware Support, PowerPoint"
Office Assistant,Govt of Punjab - Health Dept,Bathinda,"Typing, Teamwork, SQL, Networking, Documentation"
Career Counsellor,Govt of Punjab - Health Dept,Hoshiarpur,"SQL, Field Work, Teamwork, PowerPoint, Networking, English, Excel, Punjabi"
Helpdesk Executive,Punjab Rural Development Dept,Jalandhar,"Customer Support, Tally, Data Entry, English, Typing, Teamwork, Punjabi"
District Coordinator,Punjab Skill Development Mission,Firozpur,"Networking, Documentation, Communication, SQL, Punjabi, Typing, PowerPoint"
Career Counsellor,PSEB,Bathinda,"Field Work, SQL, Typing, Tally, Customer Support"
Data Entry Operator,PGRKAM Partner Employer,Bathinda,"Excel, Punjabi, MS Office, Tally, Communication, Hardware Support, SQL, Teamwork"
Data Entry Operator,Punjab Skill Development Mission,Amritsar,"MS Office, Communication, Hindi, Teamwork, Excel, Punjabi, Networking, Documentation"
Office Assistant,PSEB,Hoshiarpur,"Teamwork, Field Work, Communication, Hindi, Typing, SQL, Data Entry, PowerPoint"
Customer Support Executive,Punjab Digital Office,Gurdaspur,"Documentation, Excel, Punjabi, Hardware Support"
Office Assistant,Punjab Rural Development Dept,Patiala,"Teamwork, Tally, Excel, Documentation, Typing"
Customer Support Executive,PSEB,Bathinda,"Tally, Customer Support, Hindi, Data Entry, Hardware Support, Communication, Networking, Documentation"
Lab Technician,Govt of Punjab - Health Dept,Mohali,"Tally, Documentation, Data Entry, Hardware Support, Excel, Teamwork, English, Field Work"
District Coordinator,Punjab Digital Office,Jalandhar,"Field Work, Communication, MS Office, Tally, Customer Support, PowerPoint, English, Data Entry"
IT Support Technician,PSEB,Jalandhar,"Documentation, Hardware Support, Hindi, Teamwork, Networking, SQL, Excel, English"
Social Media Assistant,Punjab Skill Development Mission,Pathankot,"Customer Support, Data Entry, Teamwork, Hardware Support, MS Office, Punjabi, Tally, Excel"
Admin Assistant,PGRKAM Partner Employer,Jalandhar,"English, Customer Support, MS Office, Field Work, Tally, Data Entry"
Field Coordinator,PSEB,Hoshiarpur,"Customer Support, Typing, Communication, Excel"
Helpdesk Executive,PSEB,Amritsar,"Data Entry, Customer Support, Hindi, MS Office, Field Work"
Admin Assistant,Punjab Skill Development Mission,Hoshiarpur,"Customer Support, Hindi, Field Work, Documentation"
Social Media Assistant,Govt of Punjab - Health Dept,Gurdaspur,"Communication, Hardware Support, Networking, Punjabi, PowerPoint"
Office Assistant,PGRKAM Partner Employer,Bathinda,"SQL, Typing, Teamwork, Hardware Support, Customer Support"
Apprentice - IT Support,Punjab Rural Development Dept,Jalandhar,"Hardware Support, Punjabi, PowerPoint, Networking, Tally"
District Coordinator,Punjab Skill Development Mission,Mohali,"Excel, Typing, Hindi, Communication"
Customer Support Executive,Punjab Skill Development Mission,Jalandhar,"Networking, Data Entry, Hardware Support, Customer Support"
Office Assistant,PGRKAM Partner Employer,Amritsar,"Teamwork, Data Entry, Excel, Networking, Hindi, PowerPoint, Typing"
Data Entry Operator,Punjab Skill Development Mission,Pathankot,"Documentation, Communication, MS Office, SQL"
Career Counsellor,PSEB,Pathankot,"Excel, English, Hindi, PowerPoint"
Helpdesk Executive,Govt of Punjab - Revenue Dept,Mohali,"Communication, Excel, Hardware Support, Teamwork, Data Entry"
Field Coordinator,Govt of Punjab - Health Dept,Patiala,"Excel, Hindi, Networking, Customer Support, Field Work"
IT Support Technician,PGRKAM Partner Employer,Pathankot,"PowerPoint, Field Work, Networking, Hindi, Excel, Punjabi, Tally, Data Entry"
Office Assistant,PSEB,Jalandhar,"English, Typing, PowerPoint, Communication, Data Entry, SQL"
Data Entry Operator,Govt of Punjab - Health Dept,Gurdaspur,"Punjabi, Customer Support, SQL, PowerPoint, Documentation, Tally, Typing, Hardware Support"
Field Coordinator,Punjab Rural Development Dept,Gurdaspur,"Excel, Typing, Data Entry, Communication, English, Punjabi, Tally, Field Work"
Computer Operator,PGRKAM Partner Employer,Hoshiarpur,"Excel, Customer Support, Data Entry, Hindi, Hardware Support"
Apprentice - IT Support,Punjab Skill Development Mission,Pathankot,"Communication, Networking, Teamwork, Hindi, Punjabi, Customer Support"
Data Entry Operator,Punjab Skill Development Mission,Patiala,"Communication, Documentation, Tally, Hindi, Data Entry, English, Networking"
Computer Operator,Punjab Skill Development Mission,Firozpur,"Teamwork, Tally, Excel, Documentation, Field Work, Networking, Customer Support"
Admin Assistant,Punjab Digital Office,Pathankot,"Tally, Networking, Punjabi, Teamwork, Hardware Support"
Office Assistant,Punjab Rural Development Dept,Pathankot,"Documentation, PowerPoint, Teamwork, Punjabi, Communication, Excel"
Data Entry Operator,PSEB,Pathankot,"Punjabi, Tally, Customer Support, Typing, MS Office, Hindi"
Admin Assistant,Govt of Punjab - Revenue Dept,Firozpur,"MS Office, Tally, Data Entry, English, Hardware Support, Hindi"
MIS Executive,Govt of Punjab - Revenue Dept,Bathinda,"Networking, Punjabi, MS Office, Data Entry, Hindi, English, Documentation, PowerPoint"
IT Support Technician,Punjab Digital Office,Bathinda,"Excel, Networking, English, Customer Support, Hardware Support, Hindi, Documentation"
Lab Technician,PGRKAM Partner Employer,Pathankot,"Hardware Support, Teamwork, MS Office, Networking, Tally, Punjabi, Typing"
MIS Executive,Punjab Skill Development Mission,Pathankot,"Documentation, Customer Support, MS Office, Data Entry"
Career Counsellor,Punjab Rural Development Dept,Hoshiarpur,"Customer Support, Documentation, Networking, PowerPoint, Hindi, Field Work"
Social Media Assistant,Punjab Rural Development Dept,Hoshiarpur,"Punjabi, Documentation, English, Data Entry, Typing, Field Work, Communication"
Customer Support Executive,PSEB,Gurdaspur,"Hardware Support, Punjabi, Networking, Hindi, Excel, SQL"
Computer Operator,PSEB,Pathankot,"Excel, Teamwork, SQL, Customer Support, Field Work, PowerPoint"
District Coordinator,Govt of Punjab - Revenue Dept,Hoshiarpur,"Communication, SQL, Typing, English, MS Office, Data Entry, Hardware Support"
Hardware Technician,PGRKAM Partner Employer,Mohali,"Communication, Tally, English, Typing"
Hardware Technician,Punjab Skill Development Mission,Mohali,"PowerPoint, Tally, Punjabi, Typing, Hindi, Excel"
Helpdesk Executive,Punjab Digital Office,Jalandhar,"Customer Support, English, Excel, Tally, Punjabi, Teamwork, PowerPoint"
Career Counsellor,Punjab Digital Office,Hoshiarpur,"SQL, Excel, Hardware Support, Typing, English, Tally, Networking, Data Entry"
Apprentice - IT Support,PGRKAM Partner Employer,Gurdaspur,"MS Office, Field Work, Excel, Customer Support, PowerPoint, Tally, Documentation, Typing"
Admin Assistant,Punjab Skill Development Mission,Hoshiarpur,"Tally, Data Entry, Communication, Networking, Hardware Support, English, Customer Support"
Admin Assistant,PGRKAM Partner Employer,Ludhiana,"Typing, Field Work, SQL, Teamwork"
Field Coordinator,Govt of Punjab - Health Dept,Hoshiarpur,"Field Work, Hindi, SQL, Excel"
Lab Technician,Punjab Rural Development Dept,Gurdaspur,"Field Work, Communication, Data Entry, PowerPoint"
MIS Executive,Govt of Punjab - Health Dept,Pathankot,"PowerPoint, Field Work, Punjabi, SQL, Tally, Networking, Documentation"
Helpdesk Executive,Punjab Skill Development Mission,Pathankot,"Documentation, Communication, Hindi, English, Data Entry, Tally, Customer Support"
Career Counsellor,Govt of Punjab - Health Dept,Gurdaspur,"Communication, Data Entry, Typing, Tally"
District Coordinator,Govt of Punjab - Revenue Dept,Mohali,"Punjabi, Data Entry, Typing, English"
Lab Technician,PGRKAM Partner Employer,Firozpur,"Typing, English, Tally, Field Work, MS Office"
Hardware Technician,Govt of Punjab - Health Dept,Gurdaspur,"Typing, Data Entry, Punjabi, Customer Support, Documentation, Tally, SQL"
IT Support Technician,Punjab Digital Office,Hoshiarpur,"Hindi, Data Entry, Field Work, Punjabi, Excel"
IT Support Technician,Govt of Punjab - Revenue Dept,Bathinda,"Communication, Data Entry, SQL, Teamwork"
MIS Executive,Punjab Skill Development Mission,Mohali,"Tally, Customer Support, Teamwork, Communication, Networking, PowerPoint, MS Office"
Office Assistant,Punjab Digital Office,Mohali,"MS Office, Punjabi, Customer Support, Data Entry, English"
Admin Assistant,Punjab Rural Development Dept,Bathinda,"Excel, SQL, Communication, Hardware Support, English, Data Entry, Field Work, Teamwork"
Customer Support Executive,Punjab Rural Development Dept,Bathinda,"Communication, Networking, Hindi, Hardware Support, Punjabi, Documentation, Customer Support, Teamwork"
Social Media Assistant,Punjab Digital Office,Hoshiarpur,"MS Office, Punjabi, Data Entry, PowerPoint"
Hardware Technician,Govt of Punjab - Revenue Dept,Ludhiana,"Networking, Punjabi, Teamwork, Field Work, Customer Support, Hindi, Hardware Support"
Computer Operator,Punjab Skill Development Mission,Patiala,"MS Office, Hardware Support, Networking, Excel, SQL, English, Teamwork, Hindi"
Lab Technician,Punjab Digital Office,Mohali,"Communication, Teamwork, Data Entry, English, Networking, Hardware Support, Hindi, Excel"
IT Support Technician,Govt of Punjab - Revenue Dept,Firozpur,"Typing, Documentation, Networking, Communication, Excel, MS Office"
Admin Assistant,Punjab Digital Office,Patiala,"English, Hardware Support, Hindi, SQL, Data Entry"
Helpdesk Executive,PSEB,Ludhiana,"Teamwork, Excel, Data Entry, Tally, SQL, Documentation, Hardware Support, Customer Support"
Lab Technician,Punjab Skill Development Mission,Jalandhar,"Data Entry, PowerPoint, Teamwork, Documentation, Field Work, Excel"
Career Counsellor,PSEB,Hoshiarpur,"Tally, Data Entry, Communication, Teamwork"
Social Media Assistant,Punjab Rural Development Dept,Firozpur,"Hardware Support, Data Entry, Excel, Typing, MS Office, PowerPoint, Communication, Hindi"
Admin Assistant,Punjab Digital Office,Hoshiarpur,"Teamwork, Communication, Excel, English, MS Office"
Admin Assistant,Govt of Punjab - Health Dept,Bathinda,"Data Entry, PowerPoint, Hindi, SQL"
Career Counsellor,PSEB,Jalandhar,"Punjabi, Networking, MS Office, Data Entry, Documentation, English, Hindi, Teamwork"
Customer Support Executive,PSEB,Jalandhar,"Excel, MS Office, Hardware Support, Tally, Hindi, Communication, Punjabi"
Helpdesk Executive,Govt of Punjab - Health Dept,Jalandhar,"Tally, Hindi, Customer Support, Networking"
Lab Technician,PGRKAM Partner Employer,Amritsar,"Field Work, Hardware Support, Excel, Customer Support, Tally, Teamwork, MS Office"
Computer Operator,Govt of Punjab - Revenue Dept,Amritsar,"Documentation, MS Office, Punjabi, Excel"
IT Support Technician,Govt of Punjab - Revenue Dept,Ludhiana,"Hardware Support, Networking, Tally, English, Field Work, Documentation"
Hardware Technician,Govt of Punjab - Health Dept,Pathankot,"Field Work, Teamwork, Communication, Tally, Networking, Hindi, English, Hardware Support"
Data Entry Operator,Punjab Digital Office,Mohali,"Hardware Support, Customer Support, Teamwork, SQL, Punjabi"
Office Assistant,PGRKAM Partner Employer,Gurdaspur,"Documentation, Teamwork, Punjabi, Hardware Support, MS Office"
Computer Operator,Punjab Digital Office,Mohali,"Field Work, Typing, Teamwork, Networking, Hardware Support, Excel, Tally"
Apprentice - IT Support,PGRKAM Partner Employer,Patiala,"Hindi, Punjabi, Field Work, English, Documentation, MS Office, Networking, Typing"
Helpdesk Executive,Punjab Skill Development Mission,Ludhiana,"Hindi, Punjabi, Documentation, Typing, Customer Support, Teamwork"
Social Media Assistant,Punjab Digital Office,Amritsar,"Teamwork, Hindi, Typing, Data Entry, Communication, MS Office, SQL, Hardware Support"
Computer Operator,Govt of Punjab - Revenue Dept,Jalandhar,"Hindi, SQL, MS Office, PowerPoint, Excel"
IT Support Technician,PGRKAM Partner Employer,Patiala,"English, Documentation, Field Work, Hindi, MS Office, Teamwork, Excel, Customer Support"
Social Media Assistant,Govt of Punjab - Revenue Dept,Amritsar,"Typing, Customer Support, Hardware Support, Excel, Data Entry, Networking"
IT Support Technician,Punjab Rural Development Dept,Patiala,"Data Entry, Field Work, Typing, Punjabi, Excel, English, SQL, Networking"
Field Coordinator,PGRKAM Partner Employer,Mohali,"Networking, Field Work, Typing, Hardware Support, Excel, Customer Support"
IT Support Technician,Govt of Punjab - Revenue Dept,Jalandhar,"SQL, Field Work, PowerPoint, MS Office"
Customer Support Executive,Govt of Punjab - Health Dept,Pathankot,"Networking, SQL, Customer Support, MS Office, Communication, Tally, Excel, Hardware Support"
Admin Assistant,PSEB,Patiala,"Teamwork, Typing, Data Entry, MS Office, Tally"
Career Counsellor,Punjab Rural Development Dept,Pathankot,"MS Office, Tally, Excel, PowerPoint, Documentation"
Career Counsellor,Govt of Punjab - Health Dept,Jalandhar,"Field Work, MS Office, Data Entry, Networking, Customer Support, PowerPoint, Teamwork, Hardware Support"
Admin Assistant,Punjab Rural Development Dept,Pathankot,"Documentation, Data Entry, Teamwork, Tally, Networking, PowerPoint, Field Work, English"
Lab Technician,Punjab Skill Development Mission,Gurdaspur,"Documentation, Networking, Tally, Customer Support, Communication, Punjabi"
Data Entry Operator,PSEB,Firozpur,"English, Communication, Teamwork, Hardware Support"
District Coordinator,PGRKAM Partner Employer,Ludhiana,"Excel, Documentation, English, SQL, MS Office"
Customer Support Executive,PSEB,Firozpur,"MS Office, Communication, English, Hindi, Data Entry, Field Work, Customer Support"
Admin Assistant,Punjab Rural Development Dept,Jalandhar,"Typing, Punjabi, SQL, Documentation, MS Office, English, Tally"
Computer Operator,PGRKAM Partner Employer,Hoshiarpur,"SQL, English, Documentation, Tally, Hardware Support, Communication, Field Work, PowerPoint"
Apprentice - IT Support,PSEB,Pathankot,"Tally, Data Entry, Field Work, SQL, Excel, Teamwork, PowerPoint"
Admin Assistant,Punjab Skill Development Mission,Hoshiarpur,"Tally, Communication, English, Documentation, Excel"
Lab Technician,Punjab Digital Office,Bathinda,"Punjabi, Tally, Hardware Support, Data Entry, Hindi"
IT Support Technician,Punjab Rural Development Dept,Bathinda,"Tally, English, MS Office, Customer Support, Excel, Field Work, SQL"
Data Entry Operator,Punjab Digital Office,Firozpur,"Networking, Field Work, SQL, Customer Support"
Hardware Technician,Govt of Punjab - Revenue Dept,Firozpur,"Tally, Customer Support, Communication, MS Office, Data Entry, Field Work, SQL, Hindi"
Apprentice - IT Support,PSEB,Gurdaspur,"Hardware Support, Data Entry, Excel, Punjabi, Tally, SQL, Hindi"
Apprentice - IT Support,Punjab Digital Office,Amritsar,"PowerPoint, Customer Support, Typing, SQL, Tally, Communication"
MIS Executive,PGRKAM Partner Employer,Bathinda,"Communication, Customer Support, English, Punjabi, Field Work, Hindi"
Computer Operator,Punjab Rural Development Dept,Mohali,"Hindi, Hardware Support, PowerPoint, Data Entry, Networking"
Hardware Technician,Punjab Digital Office,Firozpur,"Hardware Support, MS Office, Communication, SQL, Typing"
Social Media Assistant,Govt of Punjab - Revenue Dept,Pathankot,"Data Entry, Hindi, SQL, Punjabi, Tally, Networking, Teamwork, Typing"
Data Entry Operator,Govt of Punjab - Revenue Dept,Firozpur,"Hardware Support, Field Work, Tally, Excel, SQL, Communication, Networking, Documentation"
Computer Operator,Govt of Punjab - Health Dept,Hoshiarpur,"PowerPoint, Hardware Support, Excel, Data Entry, Documentation"
Office Assistant,Govt of Punjab - Health Dept,Bathinda,"English, Typing, Teamwork, Documentation, Tally"
Customer Support Executive,Govt of Punjab - Health Dept,Patiala,"Typing, SQL, Communication, Hindi"
Social Media Assistant,Govt of Punjab - Health Dept,Firozpur,"Punjabi, Typing, Hindi, Teamwork, Communication"
Field Coordinator,Govt of Punjab - Health Dept,Mohali,"English, MS Office, Punjabi, Communication, Customer Support"
Hardware Technician,Punjab Digital Office,Pathankot,"Field Work, Teamwork, Typing, Hardware Support, Networking, Data Entry"
Hardware Technician,Punjab Rural Development Dept,Pathankot,"Communication, MS Office, Excel, Field Work, Teamwork"
Helpdesk Executive,Govt of Punjab - Revenue Dept,Patiala,"Customer Support, Hardware Support, Tally, Networking, Documentation, PowerPoint"
Lab Technician,Punjab Digital Office,Hoshiarpur,"Excel, Hindi, Hardware Support, Data Entry, Typing, SQL, Teamwork"
Hardware Technician,Punjab Rural Development Dept,Pathankot,"Hindi, PowerPoint, Networking, Field Work, English"
Admin Assistant,Govt of Punjab - Health Dept,Amritsar,"Documentation, Punjabi, Hindi, Excel, Communication"
Admin Assistant,PGRKAM Partner Employer,Hoshiarpur,"Excel, English, Field Work, Networking"
Customer Support Executive,Punjab Skill Development Mission,Jalandhar,"Typing, Networking, Hindi, Tally, Communication, Excel, Punjabi"
Lab Technician,Punjab Digital Office,Pathankot,"Hindi, SQL, Tally, Communication"
Social Media Assistant,Govt of Punjab - Revenue Dept,Pathankot,"SQL, Field Work, Data Entry, Excel"
Data Entry Operator,Punjab Skill Development Mission,Mohali,"Teamwork, Hindi, Typing, Excel, MS Office, Field Work"
MIS Executive,PSEB,Ludhiana,"Customer Support, Hardware Support, English, Tally, MS Office, Typing, Communication, Teamwork"
MIS Executive,Punjab Digital Office,Ludhiana,"Data Entry, Networking, Tally, Teamwork, MS Office, SQL, Communication, Hindi"
Lab Technician,PSEB,Gurdaspur,"Teamwork, PowerPoint, Communication, Documentation, Punjabi"
Office Assistant,PGRKAM Partner Employer,Gurdaspur,"Hindi, Excel, Data Entry, MS Office, Tally, Networking"
Admin Assistant,Punjab Skill Development Mission,Hoshiarpur,"Hardware Support, Data Entry, Field Work, Documentation, Typing, SQL, Tally, Communication"
MIS Executive,Punjab Rural Development Dept,Bathinda,"Excel, Teamwork, English, Hindi, Tally"
Data Entry Operator,Punjab Digital Office,Amritsar,"Documentation, Customer Support, Tally, Typing, Hindi, PowerPoint, MS Office, SQL"
Customer Support Executive,Govt of Punjab - Health Dept,Mohali,"Typing, Excel, Communication, Hardware Support, Networking, Tally"
IT Support Technician,Punjab Rural Development Dept,Ludhiana,"Typing, Communication, MS Office, Tally, PowerPoint, English, SQL, Data Entry"
Data Entry Operator,Punjab Digital Office,Amritsar,"Teamwork, Excel, Customer Support, Communication, Punjabi"
Helpdesk Executive,PSEB,Amritsar,"Data Entry, Teamwork, Networking, Documentation, MS Office, Communication, Tally"
Customer Support Executive,Govt of Punjab - Health Dept,Gurdaspur,"Communication, Teamwork, Documentation, English, Customer Support, Tally, Hardware Support, Field Work"
IT Support Technician,Govt of Punjab - Revenue Dept,Firozpur,"Field Work, Teamwork, English, Data Entry, MS Office, Tally, Excel"
Customer Support Executive,PGRKAM Partner Employer,Patiala,"Tally, PowerPoint, Teamwork, Customer Support, Excel, Data Entry, Communication, Typing"
